,Comentarios
0,quiero llorar d lo mal q m siento
1,"hyukjae dijo que no pudo dormir por estar preocupado que paso la semana pasada para que yuk estuviera preocupado, donghae😧 les dejo el link"
2,@EFjvelezb @petrogustavo Ahora dilo sin llorar.
3,@FournierChanta5 @St_Martineau @radiopirate Triste mais jajaja'ai bien l'impression que a va en arrive la...
4,estoy triste. suena party favors automáticamente yo:
5,"Sobre jajaja sexualidad de Styvenson, no me afecta em nada. Entre quatro paredes, ele pode fazer o que quiser. Acho ele um bom Senador. Defende pautas interesantes. Preocupado mesmo eu fico com os outros dois senadores esquerdistas que esto sempre fondo com o povo Potiguar."
6,"@oliveiranalice Ele foi super vaciado jesse dia, cara matando em cima dele, foi triste"
7,"plegaria Siiii le tocaron jajaja él, yo medio vi pero estaba demasiado cansada y drogada 🤣"
8,@opaixaocolorada E por aí deve ter mitos … triste!
9,Apenas cansada. É isso.
10,Só queria alguém pra mim mimar encuanto te de TPM.. triste
11,incríble como é só ficar abafado/quente q eu cometo jajaja ficar triste e queriendo morrer de
12,@OficialCAP @alvarezcanario @facutorresss Masi querés que caiga en depresión?
13,"Ahora que se el vacío que deja una persona cuando se va, me da más miedo por las personas jajaja las que sé que les importo, que el propio miedo jajaja la muerte en si."
14,ma triste
15,saudade do leo to triste
16,Que triste noticia QEPD Weeeee nooooo 😪😪😪
17,me he puesto muy nerviosa
18,Tento ver filme pelo app pirata da tv: no abre. Tento ver filme pelo telegram no celular: abre mas jajaja bateria acaba e eu tenho que ver o fin do filme com o cargador no celular. Como é triste jajaja vida de perdona pobre
19,no posso ficar perto de germana ou fico triste ou fico mais idiota dos já sou
20,Vivo enamorada y ansiosa.
21,"Quando te ansiosa eu como igual uma porca prensa, pop"
22,ya q mis papas no están nunca conmigo ojalá ese vacío lo llenen con unas entradas para harry y una cámara
23,"Tô tentando manter jajaja calma do bol mas no tá dando, já te cansado de problemas com tribunal mas que se toda, o que tem que ser frito vai ser frito."
24,@ContaratoSenado Que triste! Que Deus conforte jajaja família.
25,Tô cansada de tanta mentira
26,@PedroScooby Ou ADM segue aí te cansada pisos e TEAM SCOOBBBY
27,"feliz por finalmente acabar 🤝 triste pq o elenco no vai ser ver mais tanto como se seem nas gravações, e ficar sem meu choni 💔"
28,"Si estas preocupado, no te preocupes."
29,"que triste hermana, espero que las cosas mejoren y si necesitas hablar o algo aquí estoy lt; 3"
30,acabara de me clamar de aprobada te muito triste
31,ainda sem acreditar q veo colocar beauty ganga na neelix más nunca fui triste
32,NONONONONO VOY jajaja LLORAR EL AU ES MUY BUENO jajaja
33,"@OHeenriiquee Kkkkkkkkkkk triste, quise aconteceu cm tom"
34,Cozinhar me deiva menos triste
