,Comentarios,TweetPre
0,quiero llorar d lo mal q m siento,quiero llorar siento
1,"hyukjae dijo que no pudo dormir por estar preocupado que paso la semana pasada para que yuk estuviera preocupado, donghae😧 les dejo el link",hyukjae dijo pudo dormir preocupado paso semana pasada preocupado donghae dejo link
2,@EFjvelezb @petrogustavo Ahora dilo sin llorar.,efjvelezb petrogustavo ahora dilo llorar
3,@FournierChanta5 @St_Martineau @radiopirate Triste mais jajaja'ai bien l'impression que a va en arrive la...,fournierchanta martineau radiopirate triste mais jajaja bien impression arrive
4,estoy triste. suena party favors automáticamente yo:,triste suena party favor automaticamente
5,"Sobre jajaja sexualidad de Styvenson, no me afecta em nada. Entre quatro paredes, ele pode fazer o que quiser. Acho ele um bom Senador. Defende pautas interesantes. Preocupado mesmo eu fico com os outros dois senadores esquerdistas que esto sempre fondo com o povo Potiguar.",jajaja sexualidad styvenson afecta quatro paredes pode fazer quiser acho senador defende pautas interesantes preocupado mesmo fico outros doi senadores esquerdistas sempre fondo povo potiguar
6,"@oliveiranalice Ele foi super vaciado jesse dia, cara matando em cima dele, foi triste",oliveiranalice super vaciado jesse cara matando cima dele triste
7,"plegaria Siiii le tocaron jajaja él, yo medio vi pero estaba demasiado cansada y drogada 🤣",plegaria siii tocaron jajaja medio demasiado cansada drogada
8,@opaixaocolorada E por aí deve ter mitos … triste!,opaixaocolorada deve mitos triste
9,Apenas cansada. É isso.,apenas cansada isso
10,Só queria alguém pra mim mimar encuanto te de TPM.. triste,queria alguem mimar encuanto triste
11,incríble como é só ficar abafado/quente q eu cometo jajaja ficar triste e queriendo morrer de,incrible ficar abafado quente cometo jajaja ficar triste queriendo morrer
12,@OficialCAP @alvarezcanario @facutorresss Masi querés que caiga en depresión?,oficialcap alvarezcanario facutorresss masi queres caiga depresion
13,"Ahora que se el vacío que deja una persona cuando se va, me da más miedo por las personas jajaja las que sé que les importo, que el propio miedo jajaja la muerte en si.",ahora vacio deja persona miedo persona jajaja importo propio miedo jajaja muerte
14,ma triste,triste
15,saudade do leo to triste,saudade triste
16,Que triste noticia QEPD Weeeee nooooo 😪😪😪,triste noticia qepd weee nooo
17,me he puesto muy nerviosa,puesto nerviosa
18,Tento ver filme pelo app pirata da tv: no abre. Tento ver filme pelo telegram no celular: abre mas jajaja bateria acaba e eu tenho que ver o fin do filme com o cargador no celular. Como é triste jajaja vida de perdona pobre,tento filme pelo pirata abre tento filme pelo telegram celular abre jajaja bateria acaba tenho filme cargador celular triste jajaja vida perdona pobre
19,no posso ficar perto de germana ou fico triste ou fico mais idiota dos já sou,posso ficar perto germana fico triste fico mais idiota
20,Vivo enamorada y ansiosa.,vivo enamorada ansiosa
21,"Quando te ansiosa eu como igual uma porca prensa, pop",quando ansiosa igual porca prensa
22,ya q mis papas no están nunca conmigo ojalá ese vacío lo llenen con unas entradas para harry y una cámara,papa estan nunca conmigo ojala vacio llenen unas entradas harry camara
23,"Tô tentando manter jajaja calma do bol mas no tá dando, já te cansado de problemas com tribunal mas que se toda, o que tem que ser frito vai ser frito.",tentando manter jajaja calma dando cansado problemas tribunal toda frito frito
24,@ContaratoSenado Que triste! Que Deus conforte jajaja família.,contaratosenado triste deus conforte jajaja familia
25,Tô cansada de tanta mentira,cansada tanta mentira
26,@PedroScooby Ou ADM segue aí te cansada pisos e TEAM SCOOBBBY,pedroscooby segue cansada pisos team scoobbby
27,"feliz por finalmente acabar 🤝 triste pq o elenco no vai ser ver mais tanto como se seem nas gravações, e ficar sem meu choni 💔",feliz finalmente acabar triste elenco mais seem gravacoes ficar choni
28,"Si estas preocupado, no te preocupes.",preocupado preocupes
29,"que triste hermana, espero que las cosas mejoren y si necesitas hablar o algo aquí estoy lt; 3",triste hermana espero cosas mejoren necesitas hablar aqui
30,acabara de me clamar de aprobada te muito triste,acabara clamar aprobada muito triste
31,ainda sem acreditar q veo colocar beauty ganga na neelix más nunca fui triste,ainda acreditar colocar beauty ganga neelix nunca triste
32,NONONONONO VOY jajaja LLORAR EL AU ES MUY BUENO jajaja,nonononono jajaja llorar bueno jajaja
33,"@OHeenriiquee Kkkkkkkkkkk triste, quise aconteceu cm tom",oheenriiquee kkk triste quise aconteceu
34,Cozinhar me deiva menos triste,cozinhar deiva menos triste
35,Llevo dos días encerrar y me estoy hinchando jajaja comer va jajaja llorar 😗,llevo dia encerrar hinchando jajaja comer jajaja llorar
36,"Que triste que mis "" mejores amigas "" sean las redes sociales...",triste mejores amigas redes sociales
37,"Oh gente, eu te muito triste! Eu odio atrasar minas contas, me empeño pra pagar tudo no dia certo e jajaja empresa com o salário atrasado faz 2 semanas, eu te tentando no me desesperar mas te cegando no limite 😔🥺😢",gente muito triste odio atrasar mina contas empeno pagar tudo certo jajaja empresa salario atrasado semanas tentando desesperar cegando limite
38,Que triste me puso leer eso,triste puso leer
39,Sentir ganas de vomitar por tener algunas veces tanta ansiedad es de lo peor😵‍💫,sentir ganas vomitar tener veces tanta ansiedad peor
40,amigas estoy nerviosa porq mañana voy jajaja hacer mi primer video y yo hablo muchas boludeces lo único q voy jajaja decir LEYERON ESTE FIC ~,amigas nerviosa porq manana jajaja hacer primer video hablo muchas boludeces unico jajaja decir leyeron
41,Sin llorar era 🥲,llorar
42,Quiero llorar de la bronca.,quiero llorar bronca
43,isso aqui é triste demas amoral,isso aqui triste demas amoral
44,meu pai compro fanta naranja nunca fui triste,compro fanta naranja nunca triste
45,Toy muy cansada 🥺,cansada
46,"Mañana me repongo, hoy quiero comer mucho, estoy muy triste y no importa si rompo el liquid fast,,,, de igual forma lo intentare vomitar, para que no afecte mucho: (, será la última vez lo prometo",manana repongo quiero comer triste importa rompo liquid fast igual forma intentare vomitar afecte serum ultima prometo
47,"@CDechavanne Je ne sacais mame pas qui c'était... triste de morrir aussi jeune à 37 ans, une vie brisa.",cdechavanne sacais mame etait triste morrir aussi jeune brisa
