,Comentarios,Depresivo,TweetPre,Idioma
7,Estoy ansioso nea 💔🔥,1,estoy ansioso nea,es
8,"Tw: s4ngr3 
Una de las cosas que odio cuando me viene mucha ansiedad es terminar con la piel, labios,... En la mierda 
Osea en la siguiente foto mi labio con otra herida añadida a la lista 😭",1,tw s ngr una de las cosas que odio cuando me viene mucha ansiedad es terminar con la piel labios en la mierda osea en la siguiente foto mi labio con otra herida anadida la lista,es
14,Necesito un estómago nuevo o aprender a ser menos estúpida cuando me pongo ansiosa 🤢,1,necesito un estomago nuevo o aprender ser menos estupida cuando me pongo ansiosa,es
16,"@Elenaruemorgue Ninguno oficial (no vaya a ser que tengamos una salud mental pública y de calidad) pero: ansiedad, depresión tea y aacc.",1,ninguno oficial no vaya ser que tengamos una salud mental publica y de calidad pero ansiedad depresion tea y aacc,es
28,"Si algún día me gana la depresión y me voy, quiero que sepas que gracias a vos aguante un poco más:/",1,si algun dia me gana la depresion y me voy quiero que sepas que gracias vos aguante un poco mas,es
37,la droga no me quita la ansiedad,1,la droga no me quita la ansiedad,es
40,la vieja culiada esta me hizo pasar un mal momento y ahora tengo depresion,1,la vieja culiada esta me hizo pasar un mal momento y ahora tengo depresion,es
45,"En la madrugada me agarró un ataque de ansiedad, hace tanto que no me pasaba, sentía que me moría, transpiraba mucho, no paraba de llorar y la cabeza a mil.
Pensé que ya lo había superado, pero no, puede reaparecer en cualquier momento.",1,en la madrugada me agarro un ataque de ansiedad hace tanto que no me pasaba sentia que me moria transpiraba mucho no paraba de llorar y la cabeza mil pense que ya lo habia superado pero no puede reaparecer en cualquier momento,es
48,"@jjaviervazquez Hay días en los que nos cuesta salir de la cama, imaginaos con depresión. 
No hay pautas exactas para salir rápido e indemne de ella. 
Para quién lo sufra y por experiencia: terapia, permitiros días malos y abandonad ambientes tóxicos y dañinos.
Deseando leerte @jjaviervazquez",1,hay dias en los que nos cuesta salir de la cama imaginaos con depresion no hay pautas exactas para salir rapido e indemne de ella para quien lo sufra y por experiencia terapia permitiros dias malos y abandonad ambientes toxicos y daninos deseando leerte,es
49,pasandome la pastilla pa la ansiedad con... café 🤠,1,pasandome la pastilla pa la ansiedad con cafe,es
51,tengo una ansiedad bldo que no puedo ni comer no aguanto más necesito rendir todo yyyaa,1,tengo una ansiedad bldo que no puedo ni comer no aguanto mas necesito rendir todo yyyaa,es
60,Odio la incertidumbre y la ansiedad 😭😭😭😭,1,odio la incertidumbre y la ansiedad,es
61,@karlasnotess Jajajaja el pobre todo estresado y ansioso viendo ese puntito de brillo jajajaja,1,el pobre todo estresado y ansioso viendo ese puntito de brillo,es
72,Me quiero medicar para la ansiedad otra vez pero la psico no me responde :( hasta ella me deja,1,me quiero medicar para la ansiedad otra vez pero la psico no me responde hasta ella me deja,es
74,"@LaberintoFalken @FotoRozalen @ajlopezvargas @juanchusjuan @jl_sastre Y estás pasando por una depresión, sin pelo, sin cejas, con dolores, etc. y peleando por teléfono o en la página web con el seguro porque no se quieren hacerse cargo de pagos que te exige el hospital. De verdad. No es lo que tenemos en España porque tenemos la SS.",1,y estas pasando por una depresion sin pelo sin cejas con dolores etc y peleando por telefono o en la pagina web con el seguro porque no se quieren hacerse cargo de pagos que te exige el hospital de verdad no es lo que tenemos en espana porque tenemos la ss,es
87,lit me dio un ataque de ansiedad solo pq mi profe no me dejó entrar a la clase,1,lit me dio un ataque de ansiedad solo pq mi profe no me dejo entrar la clase,es
93,Quiero llorar de ansiedad y desesperación. https://t.co/e1QEnS2VbC,1,quiero llorar de ansiedad y desesperacion,es
102,Hoy los niveles de ansiedad están a todo alguien que los detenga,1,hoy los niveles de ansiedad estan todo alguien que los detenga,es
106,llevo 4 días levantándome a cada rato horrible por ansiedad no sé qué traigo 😞,1,llevo dias levantandome cada rato horrible por ansiedad no se que traigo,es
114,este año me cachetio pero me hizo entender q hice muchas cosas mal :* ahora anhelo pasar la depresión del cachetazo pa ser mi mejor versión,1,este ano me cachetio pero me hizo entender q hice muchas cosas mal ahora anhelo pasar la depresion del cachetazo pa ser mi mejor version,es
115,No he dormido bien y será un día ansioso,1,no he dormido bien y sera un dia ansioso,es
118,pueden parar de darme ataques de ansiedad?,1,pueden parar de darme ataques de ansiedad,es
119,"@cieloprqa El insomnio y la ansiedad van de la mano por q son la misma cosa,tu mente está en un estado de alerta las 24hrs debido a que es una reacción instintiva activa y desbordada del famoso huye o pelea...",1,el insomnio y la ansiedad van de la mano por q son la misma cosa tu mente esta en un estado de alerta las hrs debido que es una reaccion instintiva activa y desbordada del famoso huye o pelea,es
127,q me vaya bien por fiss por culpa de esta prueba q no he comido bien esta semana. con la ansiedad a mil,1,q me vaya bien por fiss por culpa de esta prueba q no he comido bien esta semana con la ansiedad mil,es
140,"Me da mucha ansiedad lo rápido que se van los días y para colmo todos los días consisten en lo mismo: levantarse, intentar hacer algo productivo, ganar o fracasar en el intento y volver a dormir.",1,me da mucha ansiedad lo rapido que se van los dias y para colmo todos los dias consisten en lo mismo levantarse intentar hacer algo productivo ganar o fracasar en el intento y volver dormir,es
152,"Un saludo para mi ansiedad, que me lleva a morderme las uñas y otra vez creo que me ha infectado una 😭",1,un saludo para mi ansiedad que me lleva morderme las unas y otra vez creo que me ha infectado una,es
154,menos mal que no voy a ver a los cigarrillos sexosos nadie me va a sacar de la depresión a la q voy a entrar después de que suene touch,1,menos mal que no voy ver los cigarrillos sexosos nadie me va sacar de la depresion la q voy entrar despues de que suene touch,es
169,la ansiedad si pudo conmigo anoche 😮‍💨😣,1,la ansiedad si pudo conmigo anoche,es
170,"Odio tener ataques de ansiedad cuando otros tienen un punto más que yo en las evaluaciones, no lo soporto.",1,odio tener ataques de ansiedad cuando otros tienen un punto mas que yo en las evaluaciones no lo soporto,es
174,"xd he estado muy jodido de la ansiedad, nada mas me muerdo seguido, lo único bueno es que ya viene dream por que nada más he estado: trabajo gym y mi cama.",1,xd he estado muy jodido de la ansiedad nada mas me muerdo seguido lo unico bueno es que ya viene dream por que nada mas he estado trabajo gym y mi cama,es
176,me puedo agarrar una depresión machaza https://t.co/PnZecNas39,1,me puedo agarrar una depresion machaza,es
178,@FoscoConde A más de uno le daba yo una depresión con ataques de ansiedad como los que tenía yo hace años luego de violencia psicológica para que tenga pelotas a decirme que era mentira por ducharme... Que osado es hablar cuando no se sabe de qué.,1,mas de uno le daba yo una depresion con ataques de ansiedad como los que tenia yo hace anos luego de violencia psicologica para que tenga pelotas decirme que era mentira por ducharme que osado es hablar cuando no se sabe de que,es
182,De lo ansiosa que soy ya estoy entrando en depresión por La :(,1,de lo ansiosa que soy ya estoy entrando en depresion por la,es
185,no diosito por qué me tenías que dar tanta ansiedad hoy 🫠,1,no diosito por que me tenias que dar tanta ansiedad hoy,es
188,@juanaojuanita X2 dejé de tomar café 1 semana pero tomé un latte y soy un saco de ansiedad 🤮,1,x deje de tomar cafe semana pero tome un latte y soy un saco de ansiedad,es
189,"Hoy me levante con una ansiedad horrible Mk, que sensación tan fea.",1,hoy me levante con una ansiedad horrible mk que sensacion tan fea,es
193,"Tan inseguro y tan insuficiente, que sobre pienso todo y al mínimo cambio de conducta, empiezo a creer que se cansan de mí, o se aburren o hartan. Termino sintiéndome desechable, al punto que siento que decepcione a la persona o le fallé.

Puta ansiedad...
Putas inseguridades...",1,tan inseguro y tan insuficiente que sobre pienso todo y al minimo cambio de conducta empiezo creer que se cansan de mi o se aburren o hartan termino sintiendome desechable al punto que siento que decepcione la persona o le falle puta ansiedad putas inseguridades,es
195,"Bueno, la ansiedad me come. Último día de mi vida sola",1,bueno la ansiedad me come ultimo dia de mi vida sola,es
198,aunk sinceramente si m siento mejor después d no fumar en un ratote jajsjakajaja pero igual q estresada y q ansiosa andO,1,aunk sinceramente si m siento mejor despues d no fumar en un ratote jajsjakajaja pero igual q estresada y q ansiosa ando,es
201,"Es real cuando digo que no puedo más, la ansiedad me está comiendo viva.",1,es real cuando digo que no puedo mas la ansiedad me esta comiendo viva,es
202,Estoy condenado a la depresión,1,estoy condenado la depresion,es
207,Brother estoy dem ansiosa y estresada😩😩😩,1,brother estoy dem ansiosa y estresada,es
213,@Silvia33domin No me extraña. Yo es oírla y se me cierra el estómago y empiezo como con ansiedad,1,no me extrana yo es oirla y se me cierra el estomago y empiezo como con ansiedad,es
228,@karlarboledas Loq yo tengo desde hace más de 5 años es ansiedad,1,loq yo tengo desde hace mas de anos es ansiedad,es
230,"crisis de ansiedad, no se ni que pensar",1,crisis de ansiedad no se ni que pensar,es
233,Hoy la ansiedad ha pegado fuerte fuerte 🥲 ¿Qué hacéis cuando sentís que todo se os está haciendo bola y el simple hecho de salir de la cama os da pánico?,1,hoy la ansiedad ha pegado fuerte fuerte que haceis cuando sentis que todo se os esta haciendo bola y el simple hecho de salir de la cama os da panico,es
234,Depresión ven a mi,1,depresion ven mi,es
235,Llevo tanto meses en depresión que siento que ya no puedo más.💔,1,llevo tanto meses en depresion que siento que ya no puedo mas,es
237,"no dormí por estudiar para 3 examenes para hoy y estoy toda ansiosa 
*me siento como el apendicé, inútil*",1,no dormi por estudiar para examenes para hoy y estoy toda ansiosa me siento como el apendice inutil,es
239,"Poca vida social me da ansiedad.
Mucha vida social me da ansiedad.
La vida me da ansiedad.
La muerte también me da ansiedad.
Qué asco ser yo.",1,poca vida social me da ansiedad mucha vida social me da ansiedad la vida me da ansiedad la muerte tambien me da ansiedad que asco ser yo,es
241,"@Kristodca @beacar22_ la primera vez que me dio un ataque de ansiedad no sabía qué me estaba pasando, notaba una presión muy fuerte en el pecho y me costaba mucho respirar. empecé a marearme, y del agobio empecé a llorar y a desorientarme. doy gracias a que mi madre entró en mi habitación y me ayudó +",1,la primera vez que me dio un ataque de ansiedad no sabia que me estaba pasando notaba una presion muy fuerte en el pecho y me costaba mucho respirar empece marearme y del agobio empece llorar y desorientarme doy gracias que mi madre entro en mi habitacion y me ayudo,es
244,otro jueves de faltar al gym porque tengo mucha ansiedad por dos tps q entrego mañana y tengo miedo de no llegar¿?,1,otro jueves de faltar al gym porque tengo mucha ansiedad por dos tps q entrego manana y tengo miedo de no llegar,es
261,"Estoy manejando un nivel de estres y ansiedad, que hoy me tocó llevar a mis chicuelas al jardin, y tuve que asegurarme al 100, que las dejé en el jardín 😪",1,estoy manejando un nivel de estres y ansiedad que hoy me toco llevar mis chicuelas al jardin y tuve que asegurarme al que las deje en el jardin,es
267,Que ansiedad del orto,1,que ansiedad del orto,es
269,dios no me bendijo con el don de la inteligencia pero sí con el don de la ansiedad y la verdad que se puede ir bien a la mierda,1,dios no me bendijo con el don de la inteligencia pero si con el don de la ansiedad y la verdad que se puede ir bien la mierda,es
273,"Nunca eh publicado nada, en estos momentos me siento muy mal no se realmente como sobrellevar la situación por la que estoy pasando de imaginarte la vida junto a otra persona y esa misma persona en una discusión llegará a los golpes. 
Me siento demasiado deprimida con esto..",1,nunca eh publicado nada en estos momentos me siento muy mal no se realmente como sobrellevar la situacion por la que estoy pasando de imaginarte la vida junto otra persona y esa misma persona en una discusion llegara los golpes me siento demasiado deprimida con esto,es
281,Sobrevivo por pura ansiedad,1,sobrevivo por pura ansiedad,es
286,"Mi respuesta al estrés, ansiedad, enojo, aburrimiento, etc. siempre será entra a Twitter y quejarme.",1,mi respuesta al estres ansiedad enojo aburrimiento etc siempre sera entra twitter y quejarme,es
301,@karimanesr Si a pesar de tomar magnesio tengo ansiedad q hace q se me suba la presión q más puedo hacer?,1,si pesar de tomar magnesio tengo ansiedad q hace q se me suba la presion q mas puedo hacer,es
308,La ansiedad es una hija de puta,1,la ansiedad es una hija de puta,es
314,Me desperté con mucha ansiedad 😭😭😭😭😭😭😭😭,1,me desperte con mucha ansiedad,es
317,No le deseo a nadie tener ataques de ansiedad 😥,1,no le deseo nadie tener ataques de ansiedad,es
320,"quieras o no, una vez, tienes ansiedad, siempre estará ahí xd",1,quieras o no una vez tienes ansiedad siempre estara ahi xd,es
323,@ash_lopezzz Yo me desperté con un ataque de ansiedad,1,yo me desperte con un ataque de ansiedad,es
331,"Dios que ansiedad mas incesaria, no se corrije con azul!!😶🤨 https://t.co/mAMsCLaQEz",1,dios que ansiedad mas incesaria no se corrije con azul,es
338,"el otro día pensé en hacer un vídeo sobre “un día conmigo”, pero con la depresión que llevo para grabar un vídeo en el que ni siquiera me levanto de la cama no hago nada.",1,el otro dia pense en hacer un video sobre un dia conmigo pero con la depresion que llevo para grabar un video en el que ni siquiera me levanto de la cama no hago nada,es
339,Lo mejor de estar trabajando con mi ansiedad es ser capaz de darme cuenta de que hay gente que no me merece.,1,lo mejor de estar trabajando con mi ansiedad es ser capaz de darme cuenta de que hay gente que no me merece,es
346,@En_jupiter_ A veces pienso que mi ansiedad en vez de ir a mejor empeora con el tiempo y ojalá fuera todo tan bonito como lo pintamos en RRSS.,1,veces pienso que mi ansiedad en vez de ir mejor empeora con el tiempo y ojala fuera todo tan bonito como lo pintamos en rrss,es
352,"@zuleyvbc Es una influenciadora más rola que de Manizales. Y pues, su ""influencia"" está ligada a que las mujeres podemos ser unas putas amas y podemos todo, también, hacia el entendimiento de la ansiedad como algo que muchos vivimos",1,es una influenciadora mas rola que de manizales y pues su influencia esta ligada que las mujeres podemos ser unas putas amas y podemos todo tambien hacia el entendimiento de la ansiedad como algo que muchos vivimos,es
364,Mis ataques de ansiedad son más constante 😞,1,mis ataques de ansiedad son mas constante,es
368,Nadie me había hablado de lo hpta que es la ansiedad.,1,nadie me habia hablado de lo hpta que es la ansiedad,es
372,Me advirtieron sobre las recaídas de las depresión pero si ta potente 🥴,1,me advirtieron sobre las recaidas de las depresion pero si ta potente,es
373,La depresión a veces se esconde en las sonrisas.,1,la depresion veces se esconde en las sonrisas,es
374,Cuando se crece el aburrimiento se trueca en autodesprecio y la ansiedad en depresión,1,cuando se crece el aburrimiento se trueca en autodesprecio y la ansiedad en depresion,es
379,"todo lo que pasa m está dando mucha ansiedad, por más pequeño que sea siento que va a acabar muy mal",1,todo lo que pasa m esta dando mucha ansiedad por mas pequeno que sea siento que va acabar muy mal,es
