,Comentarios,Depresivo,TweetPre,Idioma
7,Estoy ansioso nea 💔🔥,1,ansioso nea,es
8,"Tw: s4ngr3 
Una de las cosas que odio cuando me viene mucha ansiedad es terminar con la piel, labios,... En la mierda 
Osea en la siguiente foto mi labio con otra herida añadida a la lista 😭",1,tw s ngr cosas odio viene mucha ansiedad terminar piel labios mierda osea siguiente foto labio herida anadida lista,es
14,Necesito un estómago nuevo o aprender a ser menos estúpida cuando me pongo ansiosa 🤢,1,necesito estomago nuevo aprender ser menos estupida pongo ansiosa,es
16,"@Elenaruemorgue Ninguno oficial (no vaya a ser que tengamos una salud mental pública y de calidad) pero: ansiedad, depresión tea y aacc.",1,ninguno oficial vaya ser salud mental publica calidad ansiedad depresion tea aacc,es
28,"Si algún día me gana la depresión y me voy, quiero que sepas que gracias a vos aguante un poco más:/",1,si algun dia gana depresion voy quiero sepas gracias vos aguante ma,es
37,la droga no me quita la ansiedad,1,droga quita ansiedad,es
40,la vieja culiada esta me hizo pasar un mal momento y ahora tengo depresion,1,vieja culiada hizo pasar mal momento ahora depresion,es
45,"En la madrugada me agarró un ataque de ansiedad, hace tanto que no me pasaba, sentía que me moría, transpiraba mucho, no paraba de llorar y la cabeza a mil.
Pensé que ya lo había superado, pero no, puede reaparecer en cualquier momento.",1,madrugada agarro ataque ansiedad hace pasaba sentia moria transpiraba paraba llorar cabeza mil pense habia superado puede reaparecer cualquier momento,es
48,"@jjaviervazquez Hay días en los que nos cuesta salir de la cama, imaginaos con depresión. 
No hay pautas exactas para salir rápido e indemne de ella. 
Para quién lo sufra y por experiencia: terapia, permitiros días malos y abandonad ambientes tóxicos y dañinos.
Deseando leerte @jjaviervazquez",1,dia cuesta salir cama imaginaos depresion pautas exacta salir rapido indemne sufra experiencia terapia permitiros dia malos abandonad ambientes toxicos daninos deseando leerte,es
49,pasandome la pastilla pa la ansiedad con... café 🤠,1,pasandome pastilla pa ansiedad cafe,es
51,tengo una ansiedad bldo que no puedo ni comer no aguanto más necesito rendir todo yyyaa,1,ansiedad bldo puedo comer aguanto ma necesito rendir yyyaa,es
60,Odio la incertidumbre y la ansiedad 😭😭😭😭,1,odio incertidumbre ansiedad,es
61,@karlasnotess Jajajaja el pobre todo estresado y ansioso viendo ese puntito de brillo jajajaja,1,pobre estresado ansioso viendo puntito brillo,es
72,Me quiero medicar para la ansiedad otra vez pero la psico no me responde :( hasta ella me deja,1,quiero medicar ansiedad vez psico responde deja,es
74,"@LaberintoFalken @FotoRozalen @ajlopezvargas @juanchusjuan @jl_sastre Y estás pasando por una depresión, sin pelo, sin cejas, con dolores, etc. y peleando por teléfono o en la página web con el seguro porque no se quieren hacerse cargo de pagos que te exige el hospital. De verdad. No es lo que tenemos en España porque tenemos la SS.",1,pasando depresion pelo cejas dolores etc peleando telefono pagina web seguro quieren hacerse cargo pagos exige hospital verdad espana s,es
87,lit me dio un ataque de ansiedad solo pq mi profe no me dejó entrar a la clase,1,lit dio ataque ansiedad solo pq profe dejo entrar clase,es
93,Quiero llorar de ansiedad y desesperación. https://t.co/e1QEnS2VbC,1,quiero llorar ansiedad desesperacion,es
102,Hoy los niveles de ansiedad están a todo alguien que los detenga,1,hoy niveles ansiedad estan alguien detenga,es
106,llevo 4 días levantándome a cada rato horrible por ansiedad no sé qué traigo 😞,1,llevo dia levantandome cada rato horrible ansiedad traigo,es
114,este año me cachetio pero me hizo entender q hice muchas cosas mal :* ahora anhelo pasar la depresión del cachetazo pa ser mi mejor versión,1,ano cachetio hizo entender q hice muchas cosas mal ahora anhelo pasar depresion cachetazo pa ser mejor version,es
115,No he dormido bien y será un día ansioso,1,dormido bien serum dia ansioso,es
118,pueden parar de darme ataques de ansiedad?,1,pueden parar darme ataques ansiedad,es
119,"@cieloprqa El insomnio y la ansiedad van de la mano por q son la misma cosa,tu mente está en un estado de alerta las 24hrs debido a que es una reacción instintiva activa y desbordada del famoso huye o pelea...",1,insomnio ansiedad van mano q misma cosa mente alerta hr debido reaccion instintiva activa desbordada famoso huye pelea,es
127,q me vaya bien por fiss por culpa de esta prueba q no he comido bien esta semana. con la ansiedad a mil,1,q vaya bien fiss culpa prueba q comido bien semana ansiedad mil,es
140,"Me da mucha ansiedad lo rápido que se van los días y para colmo todos los días consisten en lo mismo: levantarse, intentar hacer algo productivo, ganar o fracasar en el intento y volver a dormir.",1,da mucha ansiedad rapido van dia colmo dia consisten mismo levantarse intentar hacer productivo ganar fracasar intento volver dormir,es
152,"Un saludo para mi ansiedad, que me lleva a morderme las uñas y otra vez creo que me ha infectado una 😭",1,saludo ansiedad lleva morderme unas vez creo infectado,es
