,Comentarios,Idioma,TweetPre
0,quiero llorar mal siento,es,quiero llorar siento
1,hyukjae dijo que pudo dormir por estar preocupado que paso semana pasada para que yuk estuviera preocupado donahue les dejo link,es,hyukjae dijo pudo dormir preocupado paso semana pasada hyuk preocupado donghae dejo link
2,ahora dilo sin llorar,es,ahora dilo llorar
4,estoy triste suena party favors automaticamente,es,triste suena party favor automaticamente
7,siiii tocaron jajaja medio pero estaba demasiado cansada drogada,es,siii tocaron jajaja medio demasiado cansada drogada
13,ahora que vacio que deja una persona cuando mas miedo por las personas jajaja las que que les importo que propio miedo jajaja muerte,es,ahora vacio deja persona miedo persona jajaja importo propio miedo jajaja muerte
17,puesto muy nerviosa,es,puesto nerviosa
20,vivo enamorada ansiosa,es,vivo enamorada ansiosa
22,mis papas estan nunca conmigo ojala ese vacio llenen con unas entradas para harry una camara,es,papa estan nunca conmigo ojala vacio llenen unas entradas harry camara
28,estas preocupado preocupes,es,preocupado preocupes
29,que triste hermana espero que las cosas mejoren necesitas hablar algo aqui estoy,es,triste hermana espero cosas mejoren necesitas hablar aqui
35,llevo dos dias encerrar estoy hinchando jajaja comer va jajaja llorar,es,llevo dia encerra hinchando jajaja comer jajaja llorar
36,que triste que mis mejores amigas sean las redes sociales,es,triste mejores amigas redes sociales
39,sentir ganas vomitar por tener algunas veces tanta ansiedad peor,es,sentir ganas vomitar tener veces tanta ansiedad peor
40,amigas estoy nerviosa porq manana voy jajaja hacer primer video hablo muchas boludeces unico voy jajaja decir leyeron este fin,es,amigas nerviosa porq manana jajaja hacer primer video hablo muchas boludeces unico jajaja decir leyeron
41,sin llorar era,es,llorar
42,quiero llorar bronca,es,quiero llorar bronca
46,manana repongo hoy quiero comer mucho estoy muy triste importa rompo liquid fast igual forma intentare vomitar para que afecte mucho sera ultima vez prometo,es,manana repongo quiero comer triste importa rompo liquid fast igual forma intentare vomitar afecte serum ultima prometo
50,jey dijo iba jajaja desquitar jajaja memo estuvo todo momento haciendo sena del beso desesperada,es,dijo jajaja desquitar jajaja memeo momento haciendo sena beso desesperada
52,basta importa voy quiero llorar,es,basta importa quiero llorar
54,voy jajaja llorar dios,es,jajaja llorar dios
59,estoy viendo justo iba jajaja poner esto sabes que necesitaba escuchar jajaja ese man puse jajaja llorar,es,viendo justo jajaja poner sabes necesitaba escuchar jajaja puse jajaja llorar
60,toy triste toy sola tengo frio combinación mierda,es,triste sola frio combinacion mierda
61,bueno los fanaticos del home office que van jajaja oficina por ende esta vacia casi como alquilar espacio para sola con aire mobiliario comida,es,bueno fanaticxs home office jajaja oficina ende vacia casi alquilar espacio sola aire mobiliario comida
66,hoy estoy pasando por una etapa depresion muy dura mejor que pude hacer para consolarlo fue hacer musica perdon por calidad del audio mejor,es,pasando etapa depresion dura mejor pude hacer consolarlo hacer musica perdon calidad audio mejor
67,extrano persona llamaba siempre sentia triste,es,extrano persona llamaba siempre sentia triste
68,que triste estar tanto tiempo esperando que seas conmigo como fui contigo que quieras hacerlo que demasiado tarde bro abrete al canse,es,triste tiempo esperando conmigo contigo quieras hacerlo demasiado tarde abrete canse
70,nerviosa que pone gente lenta para todo puedo explicar con palabras,es,nerviosa pone gente lenta puedo explicar palabras
72,nunca deja llorar,es,nunca deja llorar
74,bicho salio positivo jajaja comida primera vez que dio casi perdemos ansiedad esta,es,bicho salio positivo jajaja covid primera casi perdemos ansiedad
